I,Q,I_pim,Q_pim
20348.548332110084,-3234.607504270723,-566608800000.0,-4312852000000.0
30121.02044239117,-6424.7946807674425,-2462950400000.0,-13456633000000.0
29224.537463679433,-7721.060609445223,-2817348000000.0,-11868973000000.0
18741.34010901427,-6444.985738846535,-999200460000.0,-2966717000000.0
2903.4741517735956,-2782.327803299037,-17315994000.0,-3911527400.0
-12583.067394890855,2180.634272542061,145765300000.0,1009246700000.0
-22650.328953126704,6788.233726191119,1506733900000.0,5395228000000.0
-24491.75344994,9372.689160315043,2534105000000.0,6448018400000.0
-18337.518947432403,8871.950919953533,1436818600000.0,2512776900000.0
-7018.411788292781,5265.827947027495,156638180000.0,103494420000.0
5237.560465716765,-383.63010350276994,-4778022000.0,-78560030000.0
14440.644738167424,-6202.693041897417,-600043750000.0,-1278593300000.0
18123.493731794017,-10188.407906710408,-1712045700000.0,-2267489800000.0
15926.70661278868,-10862.789246552118,-1562764400000.0,-1343989500000.0
9413.071276473229,-7846.2451695356,-454426800000.0,-209507270000.0
1195.3106382823148,-2031.2204427567715,-4314922500.0,2007295700.0
-6089.623116654496,4696.4401091970685,107262650000.0,65058490000.0
-10620.496549603,10079.376193083304,831734700000.0,200612990000.0
-11783.501494958766,12227.704772698817,1355509800000.0,142634390000.0
-10006.688383998568,10325.70710164824,820762300000.0,93107820000.0
-6319.801178756158,4898.350689987999,120931500000.0,72178790000.0
-1841.4244968132955,-2334.086313943169,-7739468300.0,20208183000.0
2556.1879528131935,-8989.059056812273,-298980640000.0,278618240000.0
6287.495485829609,-12825.360091839972,-999350700000.0,615118600000.0
8896.180189648445,-12494.226739342845,-1125999700000.0,311569800000.0
9921.885940066377,-7999.697210936708,-501448200000.0,-261754810000.0
8875.989131569351,-738.9927256948096,-25964970000.0,-379280720000.0
5491.967797513338,6949.762190823864,204557730000.0,-534537570000.0
60.57317423727947,12538.64706711685,747725100000.0,-1031404650000.0
-6352.106871682707,14129.702443749393,1294391200000.0,-877459540000.0
-11940.991747975691,11101.043731885416,1136142000000.0,311696900000.0
-14674.861011884906,4337.03927538921,403419560000.0,1471364300000.0
-13011.11782616763,-4034.173404202813,-271177990000.0,1794689900000.0
-6719.584128722202,-11298.91610106053,-734540700000.0,1691974800000.0
2754.0603219883064,-15046.37648054022,-1338827300000.0,1457014700000.0
12506.3413741903,-13939.906497805914,-1877783100000.0,-8521999000.0
19048.244191816484,-8213.722426575096,-1384060200000.0,-2930948400000.0
19573.211701872904,387.66831511858857,16645500000.0,-4443131600000.0
13168.608079184556,9114.243616902651,868838540000.0,-3182120400000.0
1429.5269119997954,15094.835019930044,1314611500000.0,-1997148000000.0
-11876.380362122594,16265.916388517446,2528244400000.0,-629841200000.0
-21988.062248132446,12094.4437893768,2962411200000.0,4095161700000.0
-24895.57461152186,3775.72786079042,991658100000.0,7940727600000.0
