EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_MAIN_METRICS,VAL_REDUCTION_LEVEL,TEST_LOSS,TEST_NMSE,TEST_MAIN_METRICS,TEST_REDUCTION_LEVEL
20,100,0.37571286,0.00050000,64,34,50,linear,8,32882960175795275506384896.00000000,35370070705620827552874496.00000000,210.24448,-199.41554938,-199.89587551,31528951304012471893753856.00000000,210.6613,-200.06003736,-200.36486968
21,100,0.39332883,0.00050000,64,34,50,linear,8,32127784981499149820100608.00000000,34563574443032227528835072.00000000,210.14429,-199.31550570,-199.79583094,30809991759582651333214208.00000000,210.56113,-199.96000675,-200.26483947
22,100,0.41245795,0.00050000,64,34,50,linear,8,31425032764226732338184192.00000000,33775013027369291616354304.00000000,210.04407,-199.21518780,-199.69551575,30107124693514133142765568.00000000,210.4609,-199.85967464,-200.16450654
23,100,0.43020763,0.00025000,64,34,50,linear,8,30864875049079586166931456.00000000,33385334782184214193242112.00000000,209.99365,-199.16498007,-199.64531407,29759608787752528113565696.00000000,210.41049,-199.80946673,-200.11429668
24,100,0.44792710,0.00025000,64,34,50,linear,8,30502722753776202870161408.00000000,33000618711154964639514624.00000000,209.94333,-199.11498791,-199.59533654,29416515488882594949365760.00000000,210.36014,-199.75946964,-200.06429411
25,100,0.46517317,0.00025000,64,34,50,linear,8,30149727907819129294290944.00000000,32621690306078841457606656.00000000,209.89319,-199.06464021,-199.54496978,29078176838297660422094848.00000000,210.3099,-199.70906706,-200.01388917
26,100,0.48286652,0.00025000,64,34,50,linear,8,29804833020479460228464640.00000000,32249870815000124094152704.00000000,209.84341,-199.01452293,-199.49484208,28746594307729722018103296.00000000,210.2601,-199.65891949,-199.96374079
27,100,0.50067693,0.00025000,64,34,50,linear,8,29465689367473930945691648.00000000,31881775260381286846431232.00000000,209.79356,-198.96439314,-199.44471317,28418961686236566671851520.00000000,210.21033,-199.60880042,-199.91362668
28,100,0.51798300,0.00025000,64,34,50,linear,8,29131257554537743699148800.00000000,31513290018293892484431872.00000000,209.74306,-198.91377808,-199.39410133,28091285253726236265414656.00000000,210.15993,-199.55824520,-199.86308348
29,100,0.53540442,0.00025000,64,34,50,linear,8,28795430243210618598326272.00000000,31154217227370108421144576.00000000,209.69327,-198.86428242,-199.34462356,27771453299133250845802496.00000000,210.1102,-199.50879348,-199.81362748
