EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_MAIN_METRICS,VAL_REDUCTION_LEVEL,TEST_LOSS,TEST_NMSE,TEST_MAIN_METRICS,TEST_REDUCTION_LEVEL
0,100,0.01690323,0.00100000,64,6,50,linear,8,387439946530569491828441088.00000000,395997472515431809371078656.00000000,220.77156,-206.85972909,-207.23910945,407827664637806924175245312.00000000,221.73686,-207.57555978,-207.60404883
1,100,0.03418016,0.00100000,64,6,50,linear,8,369947263172445425555734528.00000000,378145709725075685632901120.00000000,220.57123,-206.65939628,-207.03877727,389442680263256152138055680.00000000,221.53653,-207.37522955,-207.40371966
2,100,0.04977375,0.00100000,64,6,50,linear,8,353234778281664972287115264.00000000,361095347284257799655129088.00000000,220.37085,-206.45902436,-206.83840500,371882966325074998021062656.00000000,221.33615,-207.17485643,-207.20334578
3,100,0.06556728,0.00100000,64,6,50,linear,8,337334289049018181005344768.00000000,344811815994584019738034176.00000000,220.17047,-206.25862722,-206.63800750,355112920607201202389647360.00000000,221.13576,-206.97445817,-207.00294655
4,100,0.08150382,0.00100000,64,6,50,linear,8,322143654159215324592865280.00000000,329263055414854238680907776.00000000,219.97008,-206.05823658,-206.43761707,339099744798671709661036544.00000000,220.93538,-206.77406893,-206.80255709
5,100,0.09691906,0.00100000,64,6,50,linear,8,307583416055592450028208128.00000000,314416082766664663805460480.00000000,219.76968,-205.85785279,-206.23723319,323809127955509420069224448.00000000,220.73499,-206.57368407,-206.60217270
6,100,0.11352287,0.00100000,64,6,50,linear,8,293699667935420524166905856.00000000,300236402638597458250170368.00000000,219.56927,-205.65744046,-206.03682099,309206002817230211756589056.00000000,220.53458,-206.37327297,-206.40176125
7,100,0.12891011,0.00100000,64,6,50,linear,8,280675478961824336533520384.00000000,286697912887788322999500800.00000000,219.3689,-205.45705068,-205.83643101,295262865288420183781670912.00000000,220.33418,-206.17288158,-206.20137034
8,100,0.14530068,0.00100000,64,6,50,linear,8,267808691491761513008463872.00000000,273769899685354531650011136.00000000,219.1685,-205.25666428,-205.63604474,281948817072755872645513216.00000000,220.13379,-205.97249683,-206.00098471
9,100,0.16129358,0.00100000,64,6,50,linear,8,255715742661773374221451264.00000000,261424895829370330679345152.00000000,218.96811,-205.05627545,-205.43565587,269234896782041554352078848.00000000,219.93341,-205.77210704,-205.80059566
10,100,0.17684302,0.00100000,64,6,50,linear,8,244241787859993466618511360.00000000,249635858393023661884833792.00000000,218.7677,-204.85587526,-205.23525552,257093618767607401669459968.00000000,219.73302,-205.57170611,-205.60019465
11,100,0.19249357,0.00100000,64,6,50,linear,8,233224235138281054861787136.00000000,238377847378326869952692224.00000000,218.56729,-204.65546576,-205.03484592,245499323608446884611358720.00000000,219.5326,-205.37129677,-205.39978445
12,100,0.20787551,0.00050000,64,6,50,linear,8,225222745208714503997358080.00000000,232938160805406955114856448.00000000,218.46704,-204.55521044,-204.93458964,239896807625588335561408512.00000000,219.43234,-205.27103642,-205.29952379
13,100,0.22476643,0.00050000,64,6,50,linear,8,220102388144793935660711936.00000000,227626679103799321660751872.00000000,218.36687,-204.45503301,-204.83441437,234426831498899389639819264.00000000,219.33217,-205.17086595,-205.19935846
