EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_MAIN_METRICS,VAL_REDUCTION_LEVEL,TEST_LOSS,TEST_NMSE,TEST_MAIN_METRICS,TEST_REDUCTION_LEVEL
29,100,5.20361790,0.00050000,64,538,50,vdlstm,8,29062.67984263,34054.83984375,-0.026302394,0.02637305,0.05945777,28277.14257812,-0.02927431,0.02612818,0.05142459
30,100,5.37442615,0.00050000,64,538,50,vdlstm,8,29052.33153195,34071.74609375,-0.023912027,0.02482387,0.05695602,28291.94335938,-0.026799507,0.02414728,0.04858394
31,100,5.54512417,0.00050000,64,538,50,vdlstm,8,29044.12666490,34070.73828125,-0.02414326,0.02489051,0.05704101,28286.89843750,-0.027898666,0.02514458,0.04983498
32,100,5.71701253,0.00050000,64,538,50,vdlstm,8,29042.44788912,34043.18750000,-0.027805887,0.02818970,0.06045012,28267.37500000,-0.031024735,0.02815660,0.05267888
33,100,5.88568682,0.00025000,64,538,50,vdlstm,8,29042.33833737,34061.45312500,-0.025343826,0.02591228,0.05823290,28283.18750000,-0.028445628,0.02562728,0.05036167
34,100,6.05614746,0.00025000,64,538,50,vdlstm,8,29049.12226995,34054.01562500,-0.026391527,0.02664064,0.05944829,28276.27539062,-0.02958883,0.02678542,0.05181122
35,100,6.22662748,0.00025000,64,538,50,vdlstm,8,29056.97527017,34057.29296875,-0.025825946,0.02616060,0.05863693,28280.73437500,-0.028669668,0.02583682,0.05040847
36,100,6.39585945,0.00025000,64,538,50,vdlstm,8,29043.41113281,34044.75000000,-0.027569465,0.02746520,0.06022321,28269.47460938,-0.030607577,0.02775672,0.05250669
37,100,6.56693677,0.00025000,64,538,50,vdlstm,8,29042.41432317,34064.55859375,-0.024742723,0.02562733,0.05761873,28286.32031250,-0.027735531,0.02522606,0.04946776
38,100,6.73772258,0.00025000,64,538,50,vdlstm,8,29043.01007546,34057.05078125,-0.025864229,0.02599119,0.05890515,28280.34375000,-0.028784174,0.02613627,0.05108510
39,100,6.90659307,0.00025000,64,538,50,vdlstm,8,29044.76997460,34048.65234375,-0.026742432,0.02749287,0.05907809,28275.19726562,-0.029400704,0.02689236,0.05066994
40,100,7.07511765,0.00025000,64,538,50,vdlstm,8,29040.50125758,34053.33203125,-0.026153196,0.02665582,0.05871967,28277.94531250,-0.029016534,0.02649075,0.05058674
41,100,7.24408015,0.00025000,64,538,50,vdlstm,8,29044.25299030,34034.09765625,-0.028848555,0.02880429,0.06157751,28262.30664062,-0.03169399,0.02914025,0.05381774
42,100,7.41498640,0.00025000,64,538,50,vdlstm,8,29043.86179352,34050.90234375,-0.02669058,0.02668538,0.05964567,28274.18750000,-0.029893542,0.02726127,0.05226571
43,100,7.58773867,0.00025000,64,538,50,vdlstm,8,29040.72249476,34039.60156250,-0.028151395,0.02788169,0.06096793,28265.57031250,-0.031162396,0.02852909,0.05349213
44,100,7.75832506,0.00012500,64,538,50,vdlstm,8,29041.62179608,34040.30859375,-0.027916797,0.02800882,0.06043650,28267.28710938,-0.030752862,0.02818929,0.05253798
45,100,7.93188993,0.00012500,64,538,50,vdlstm,8,29043.32818349,34042.14453125,-0.027693449,0.02784159,0.06050817,28269.00000000,-0.03051557,0.02798043,0.05255514
46,100,8.10249958,0.00012500,64,538,50,vdlstm,8,29046.29201931,34045.03515625,-0.027320543,0.02743110,0.05991037,28271.39257812,-0.030075338,0.02755310,0.05196886
47,100,8.27300392,0.00012500,64,538,50,vdlstm,8,29042.75475311,34039.76562500,-0.027996168,0.02817340,0.06061895,28266.90625000,-0.03082689,0.02841382,0.05281568
48,100,8.44444532,0.00012500,64,538,50,vdlstm,8,29046.89055761,34037.26171875,-0.0283884,0.02816927,0.06092861,28264.63476562,-0.031235324,0.02862253,0.05340126
49,100,8.61464202,0.00012500,64,538,50,vdlstm,8,29046.27907138,34034.80078125,-0.028605321,0.02882175,0.06109371,28263.27539062,-0.03138818,0.02894166,0.05320131
50,100,8.78489108,0.00012500,64,538,50,vdlstm,8,29048.78869120,34038.99609375,-0.028102744,0.02810155,0.06072392,28265.97070312,-0.031056251,0.02850117,0.05306768
